Date,Sales Rep,Customer Code,Sales,Profit,Region
4-Jan-08,Abhay,CUSTN 1014,10600,4080,South
5-Jan-08,Jaspreet,CUSTN 1011,11250,4880,East
6-Jan-08,Abhay,CUSTN 1011,13050,2780,South
6-Jan-08,Varsha,CUSTN 1018,14950,5620,West
7-Jan-08,Bruce,CUSTN 1022,14200,5320,East
7-Jan-08,Abhay,CUSTN 1011,10900,3380,East
7-Jan-08,Jaspreet,CUSTN 1015,10200,4420,East
11-Jan-08,Veronica,CUSTN 1011,10100,2720,North
12-Jan-08,Abhay,CUSTN 1022,14550,5520,South
13-Jan-08,Bruce,CUSTN 1013,11350,5340,North
14-Jan-08,Veronica,CUSTN 1013,12600,3900,North
18-Jan-08,Varsha,CUSTN 1022,13100,2060,South
21-Jan-08,Anshika,CUSTN 1022,11750,4760,South
22-Jan-08,Veronica,CUSTN 1019,13100,2040,South
23-Jan-08,Jaspreet,CUSTN 1014,15000,5380,North
23-Jan-08,Veronica,CUSTN 1013,10100,3080,East
24-Jan-08,Mark,CUSTN 1013,14550,2780,South
25-Jan-08,Anshika,CUSTN 1020,14150,5700,South
29-Jan-08,Charley,CUSTN 1017,10500,4240,South
29-Jan-08,Varsha,CUSTN 1012,13300,3520,South
30-Jan-08,Ramesh,CUSTN 1015,11850,5160,North
4-Feb-08,Ramesh,CUSTN 1022,11800,3080,South
6-Feb-08,Abhay,CUSTN 1013,11700,4520,North
9-Feb-08,Bruce,CUSTN 1014,11750,3180,North
10-Feb-08,Ramesh,CUSTN 1016,11850,5060,South
10-Feb-08,Ramesh,CUSTN 1020,11900,3460,West
11-Feb-08,Mark,CUSTN 1012,10850,5120,East
12-Feb-08,Varsha,CUSTN 1021,10600,2320,North
12-Feb-08,James,CUSTN 1019,12800,2940,East
16-Feb-08,Veronica,CUSTN 1020,11400,4260,North
17-Feb-08,Ramesh,CUSTN 1013,11050,3020,East
18-Feb-08,Rajat,CUSTN 1019,12650,4820,West
19-Feb-08,Bruce,CUSTN 1015,12800,4200,North
23-Feb-08,Mark,CUSTN 1013,11100,3360,West
25-Feb-08,Bruce,CUSTN 1016,13250,4060,South
25-Feb-08,Anshika,CUSTN 1017,14800,5800,North
26-Feb-08,Bruce,CUSTN 1017,11950,3320,South
27-Feb-08,Charley,CUSTN 1015,11950,2280,East
1-Mar-08,Anshika,CUSTN 1013,12150,2200,East
2-Mar-08,Abhay,CUSTN 1022,13750,5500,East
2-Mar-08,Swati,CUSTN 1022,11650,5040,West
4-Mar-08,Charley,CUSTN 1016,13600,3060,South
8-Mar-08,James,CUSTN 1022,11300,5340,South
16-Mar-08,Bruce,CUSTN 1014,14850,3320,West
18-Mar-08,James,CUSTN 1019,12900,3720,East
20-Mar-08,Abhay,CUSTN 1016,14100,2100,East
21-Mar-08,Rajat,CUSTN 1015,14200,5240,South
23-Mar-08,Veronica,CUSTN 1013,14750,4180,West
27-Mar-08,James,CUSTN 1012,12000,2100,West
27-Mar-08,Mark,CUSTN 1012,12450,5800,South
29-Mar-08,Swati,CUSTN 1016,13200,2060,West
30-Mar-08,Jaspreet,CUSTN 1018,13300,5320,West
30-Mar-08,Veronica,CUSTN 1019,10750,4600,North
2-Apr-08,James,CUSTN 1015,13250,3920,East
2-Apr-08,Mark,CUSTN 1019,14700,3180,East
4-Apr-08,Abhay,CUSTN 1012,13750,2220,North
8-Apr-08,Veronica,CUSTN 1018,14500,5260,South
10-Apr-08,Mark,CUSTN 1012,12350,5420,South
10-Apr-08,Ramesh,CUSTN 1017,12250,4540,South
12-Apr-08,Charley,CUSTN 1021,12300,4300,West
13-Apr-08,Bruce,CUSTN 1012,12850,2880,North
13-Apr-08,Mark,CUSTN 1013,14300,3920,West
18-Apr-08,James,CUSTN 1011,13150,5740,West
20-Apr-08,Varsha,CUSTN 1017,14750,5460,South
23-Apr-08,Ramesh,CUSTN 1012,13300,5680,West
3-May-08,Mark,CUSTN 1019,14650,4420,West
6-May-08,Mark,CUSTN 1020,13750,3160,South
6-May-08,Abhay,CUSTN 1012,14750,2120,North
7-May-08,Ramesh,CUSTN 1015,11000,4580,West
8-May-08,Swati,CUSTN 1015,14750,5280,South
12-May-08,Swati,CUSTN 1018,14650,3240,East
12-May-08,Ramesh,CUSTN 1012,10200,4980,North
